"id","deviceid","name","lowerlimit","upperlimit","preset_boxes","unit","type"
1,1,"CAHU-6-1风机变频器故障指示","000001","000001","1255,1435,1333,1508",NULL,"light           "
2,1,"CAHU-6-1风机防火阀动作指示","000001","000001","1385,1433,1472,1516",NULL,"light           "
3,1,"ICU排风机故障指示","000001","000001","1513,1433,1610,1513",NULL,"light           "
4,1,"CAHU-6-1风机运行指示","000001","000001","1241,1555,1335,1649",NULL,"light           "
5,1,"CAHU-6-1风机停止指示","000001","000001","1383,1569,1466,1649",NULL,"light           "
6,1,"ICU排风机运行指示","000001","000001","1508,1558,1610,1655",NULL,"light           "
7,1,"旋钮","0","0","1302,1685,1422,1794",NULL,"buttom          "
8,2,"CAHU-6-2风机变频器故障指示","000001","000001","669,226,1074,660",NULL,"light           "
9,2,"CAHU-6-2风机防火阀动作指示","000001","000001","1269,207,1688,633",NULL,"light           "
10,2,"ICU排风机故障指示","000001","000001","1855,207,2302,655",NULL,"light           "
11,2,"CAHU-6-2风机运行指示","000001","000001","666,863,1094,1230",NULL,"light           "
12,2,"CAHU-6-2风机停止指示","000001","000001","1288,863,1688,1249",NULL,"light           "
13,2,"ICU排风机运行指示","000001","000001","1847,872,2291,1249",NULL,"light           "
14,2,"旋钮","0","0","983,1466,1391,1860",NULL,"buttom          "
15,3,"CAHU-6-3风机变频器故障指示","000001","000001","585,232,977,591",NULL,"light           "
16,3,"CAHU-6-3风机防火阀动作指示","000001","000001","1141,226,1558,608",NULL,"light           "
17,3,"ICU排风机故障指示","000001","000001","1749,240,2122,627",NULL,"light           "
18,3,"CAHU-6-3风机运行指示","000001","000001","572,830,980,1177",NULL,"light           "
19,3,"CAHU-6-3风机停止指示","000001","000001","1174,822,1544,1191",NULL,"light           "
20,3,"ICU排风机运行指示","000001","000001","1738,827,2133,1205",NULL,"light           "
21,3,"旋钮","0","0","885,1399,1291,1760",NULL,"buttom          "
22,4,"CAHU-6-4风机变频器故障指示","000001","000001","1424,1441,1502,1510",NULL,"light           "
23,4,"CAHU-6-4风机防火阀动作指示","000001","000001","1530,1433,1624,1510",NULL,"light           "
24,4,"ICU排风机故障指示","000001","000001","1649,1433,1735,1510",NULL,"light           "
25,4,"CAHU-6-4风机运行指示","000001","000001","1427,1549,1510,1638",NULL,"light           "
26,4,"CAHU-6-4风机停止指示","000001","000001","1535,1555,1616,1633",NULL,"light           "
27,4,"ICU排风机运行指示","000001","000001","1649,1552,1744,1633",NULL,"light           "
28,4,"旋钮","0","0","1483,1674,1569,1755",NULL,"buttom          "
